_id,IOS_App_Id,Title,Developer_Name,Developer_IOS_Id,IOS_Store_Url,Seller_Official_Website,Age_Rating,Total_Average_Rating,Total_Number_of_Ratings,Average_Rating_For_Version,Number_of_Ratings_For_Version,Original_Release_Date,Current_Version_Release_Date,Price_USD,Primary_Genre,All_Genres,Languages,Description
5ddd0f935add2aa7a436dfa3,1224614786,abc - writing style cursive flashcards worksheets,Wattana Kamdee,1202552658.0,https://apps.apple.com/us/app/abc-writing-style-cursive-flashcards-worksheets/id1224614786?uo=4,,4+,-1.0,-1.0,0.0,0,2017-04-10T23:00:59Z,2017-04-10T23:00:59Z,0.0,Games,"['Games', 'Books', 'Family']",['EN'],"This application helps you practice cursive scripts. or write alphabet A - Z. Cursive script is meaningful when you write letters consecutively, not separately. This app for children 2 - 7 years. Each letter will be shown the way to trace it. Within the app, there And cute illustrations For children who want to learn basic English."
5ddd0f935add2aa7a436dfa4,1111182407,abcForAll,CHEN-HUNG LEE,1111182406.0,https://apps.apple.com/us/app/abcforall/id1111182407?uo=4,,4+,-1.0,-1.0,0.0,0,2016-05-11T02:21:43Z,2019-05-30T07:23:27Z,6.99,Education,"['Education', 'Books']",['EN'],"裡面包含三個部分：電子書，我的課本和遊戲。
電子書

電子書裡有許多種類，包含發音、入門單字、主題、單字表、全民英檢、多益、詞性分類和片語。入門單字適合小小孩；單字表和片語依照小學、國一、國二、國三、高一、高二、高三、進階分級；主題包含食、衣、住、行、教育、運動、人體、親屬、動物等；詞性分類有八類詞性的基本文法。電子書的內容保證非常豐富，而且實用。另外abcForAll也提供多個實用的功能，例如可以將單字片語表中的字依序發音；隨機順序發音；翻譯（免上網）；或者將單字、片語和翻譯隱藏起來便於複習。為了讓使用者有效地學習，每一個單字或片語都提供五個例句。而這些例句也都可以依照使用者的需求作修改，變更例句擺放的順序。

我的課本

在我的課本裡，使用者可以新增自己的文件夾和文件。每個文件構成一個課程單元，而文件的內容可以由電子書複製過來或是自己編輯。我的課本提供一些像是合併、刪除、重新命名和變更次序等功能，讓使用者可以編輯出專屬於自己的課程單元。就學中的學生可以配合學校進度，編輯課程單元。家長也可以很方便地檢查編輯內容，一起參與學習。我的課本也很適合自學者編輯自己使用的教材。

遊戲

這裡包含三種遊戲：翻譯、聽力和拼字，其中拼字遊戲有不同等級跟難度，還有不同的提示幫助作答。使用者選擇電子書或我的課本的課程單元來玩，答題時間可以自由設定。

感謝使用abcForAll並期待你的回饋意見！"
5ddd0f935add2aa7a436dfa5,1203161394,abcForAll tw,CHEN-HUNG LEE,1111182406.0,https://apps.apple.com/us/app/abcforall-tw/id1203161394?uo=4,,4+,-1.0,-1.0,0.0,0,2017-02-09T03:50:59Z,2019-05-30T07:22:55Z,0.0,Education,"['Education', 'Books']",['EN'],"這是abcForAll的免費版，僅提供有限的資料庫。

購買付費版即擁有以下完整內容：

電子書

電子書裡有許多種類，包含發音、入門單字、主題、單字表、全民英檢、多益、詞性分類和片語。入門單字適合小小孩；單字表和片語依照小學、國一、國二、國三、高一、高二、高三、進階分級；主題包含食、衣、住、行、教育、運動、人體、親屬、動物等；詞性分類有八類詞性的基本文法。電子書的內容保證非常豐富，而且實用。另外abcForAll也提供多個實用的功能，例如可以將單字片語表中的字依序發音；隨機順序發音；翻譯（免上網）；或者將單字、片語和翻譯隱藏起來便於複習。為了讓使用者有效地學習，每一個單字或片語都提供五個例句。而這些例句也都可以依照使用者的需求作修改，變更例句擺放的順序。

我的課本

在我的課本裡，使用者可以新增自己的文件夾和文件。每個文件構成一個課程單元，而文件的內容可以由電子書複製過來或是自己編輯。我的課本提供一些像是合併、刪除、重新命名和變更次序等功能，讓使用者可以編輯出專屬於自己的課程單元。就學中的學生可以配合學校進度，編輯課程單元。家長也可以很方便地檢查編輯內容，一起參與學習。我的課本也很適合自學者編輯自己使用的教材。

遊戲

這裡包含三種遊戲：翻譯、聽力和拼字，其中拼字遊戲有不同等級跟難度，還有不同的提示幫助作答。使用者選擇電子書或我的課本的課程單元來玩，答題時間可以自由設定。

感謝使用abcForAll並期待你的回饋意見！"
5ddd0f935add2aa7a436dfa6,1257965362,abegs books reader,Arab Bureau of Education for the Gulf States,1168221424.0,https://apps.apple.com/us/app/abegs-books-reader/id1257965362?uo=4,https://social.abegs.org/,4+,-1.0,-1.0,0.0,0,2017-11-21T02:06:58Z,2017-11-21T02:06:58Z,0.0,Education,"['Education', 'Books']",['EN'],تطبيق اصدارات مكتب التربية العربي لدول الخليج يوفر لكم الحصول على الإصدارات إلكترونيا من خلال التطبيق، وكذلك تصفح الاصدارات وقرائتها بعد الشراء بشكل نصي وكذلك حسب الكتاب المطبوع وهو عبارة عن مكتبة إلكترونية تتيح للمستخدم إدارة الاصدارات التي يقوم بتحميلها وتنظيمها.
5ddd0f935add2aa7a436dfa7,1143009457,aBooks - Sách Truyện Online,Phuong Anh Do,958516085.0,https://apps.apple.com/us/app/abooks-s%C3%A1ch-truy%E1%BB%87n-online/id1143009457?uo=4,https://www.facebook.com/abooks.mobi,12+,4.5,202.0,4.5,118,2016-09-07T06:33:45Z,2018-01-17T21:10:42Z,0.0,Book,"['Books', 'Lifestyle']","['EN', 'VI']","aBooks mang lại trải nghiệm đọc sách điện tử tuyệt vời với thư viện sách và truyện MIỄN PHÍ, không giới hạn. 

aBooks với hàng trăm ngàn đầu sách, truyện hoàn toàn MIỄN PHÍ, các thể loại từ tiểu thuyết, lịch sử, tâm lý học, kinh tế, tình cảm lãng mạn, kỹ năng mềm, tư duy tới các thể loại kiếm hiệp, xuyên không, võng du, khoa viễn, đô thị, sắc hiệp, ngôn tình... Độc giả cũng có thể import các file epub để trải nghiệm bằng aBooks. 

- Đọc sách miễn phí không giới hạn với nhiều thể loại.
- Sách, truyện được update từng ngày.
- Nguồn sách truyện phong phú, đa dạng
- Giao diện đẹp và dễ sử dụng.
- Đăng ký và đăng nhập dễ dàng với Facebook.
- Mời và chia sẻ với bạn bè các đầu sách yêu thích.
- Lưu vị trí đang đọc và đồng bộ trên các thiết bị khác nhau.
- Lưu các sách vào Thư viện riêng. Độc giả có thể chuyển các sách vào các mục Đang đọc, Đã đọc và Muốn đọc.
- Đọc sách thoải mái nhất với nhiều nền giấy, font chữ, size chữ…
- Đánh dấu trang sách và ghi chú.
- Đọc và lưu các file sách bằng aBooks.
- Hỗ trợ import sách định dạng epub nhanh chóng bằng Open-in, Google Drive, Box, Dropbox...
- Đọc sách offline mọi nơi.

Email: abooks2016@gmail.com
Fanpage: https://www.facebook.com/abooks.mobi"
5ddd0f935add2aa7a436dfa8,1469906216,aComic Manga Comic Novel Story,Mong Anh Nguyen,1440262003.0,https://apps.apple.com/us/app/acomic-manga-comic-novel-story/id1469906216?uo=4,,9+,-1.0,-1.0,0.0,0,2019-06-30T09:21:38Z,2019-07-23T08:38:25Z,0.0,Entertainment,"['Entertainment', 'Books']",['EN'],"aComic is an online novel application, always update the fastest the hottest novel.

At aComic, you will enjoy thousands of English's diverse and intriguing novel titles, from Japanese romantic novel to England romantic novel, or detective novels. adventure, animation, comedy, horror ...
All the titles are on aComic

Manga Online on mobile app is completely free with the following highlights:
- Automatic daily update of novel.
- Thousands of manga with HD quality.
- Automatically save recent aComic, help you easily manage the novel you are reading.
- Fast loading speed with the best mobile experience.
- aComic also have many novel series for you to choose from.
- And many other features await you to explore.

aComic wish you have a comfortable moment with your family and friends.

If you find the application enjoyable please share it with your friends and family to spread aComic.
Thank you very much."
5ddd0f935add2aa7a436dfa9,883528624,actmobile,Al Musanna College of Technology,883528627.0,https://apps.apple.com/us/app/actmobile/id883528624?uo=4,,4+,-1.0,-1.0,0.0,0,2014-06-11T04:20:34Z,2018-03-22T22:51:44Z,0.0,Education,"['Education', 'Books']",['EN'],"Al Musanna College of Technology Mobile application allows students and staffs of the college  to access College By Laws, Courses Offered,Programs offered by each courses,public information like about us, College mission & vision ,feedback & suggestion by users, Staff directory, Academic Calendar, College Mail, Emergency Numbers, etc. directly from the home page of the app. This app is not only for college staff and users, outsiders can also use this app to get the contact information and other details about the college."
5ddd0f935add2aa7a436dfaa,1437233219,Ad gentes,JPM Publications SA,997778065.0,https://apps.apple.com/us/app/ad-gentes/id1437233219?uo=4,,4+,-1.0,-1.0,0.0,0,2018-10-02T22:55:13Z,2018-10-02T22:55:13Z,0.0,Book,"['Books', 'Travel']",['EN'],"You have booked your next trip with ad gentes,

This app enables you to download your travel documents on your smartphone or tablet. E-tickets, itinerary, useful contacts, travel guides are now at a fingertip !

This app works in offline mode : download your travel wallet before your departure, and use it at all times without any internet connection."
5ddd0f935add2aa7a436dfab,1198931669,adult color anti stress therapy coloring book,Kannika Khunwatananon,1139140323.0,https://apps.apple.com/us/app/adult-color-anti-stress-therapy-coloring-book/id1198931669?uo=4,,4+,-1.0,-1.0,2.0,4,2017-01-27T00:55:01Z,2017-02-25T02:35:35Z,0.0,Book,"['Books', 'Entertainment']",['EN'],"the best mandals coloring book for adults is now available on your iphone and ipad!
the beautiful illustrations,including mandala,zen and animals,along with many cool  palettes! a mind journey which makes you anxiety free and stress relieving!

simply tap to pick color and brush patterns and paint, all you need is your imagination!
lots of beautiful illustrations and drawings to color, and more are coming in next bi-weekly update!
personalized color palettes, pick your favorite!
easy to save your work and share them with all your friends, whenever and however you like it!

we would like to present our anti stress coloring book for adults. this application can be used by parents and kids,everybody will find something interesting in multiple coloring categories. you can choose pictures to paint in one of the following themes:

- mandala
- floral
- animals
- orient
- more anti-stress coloring pages coming soon

so what are you waiting for?! 
enjoy your creativity :)"
5ddd0f935add2aa7a436dfac,937284936,aDyslexia,Gameteam,356889038.0,https://apps.apple.com/us/app/adyslexia/id937284936?uo=4,,17+,-1.0,-1.0,5.0,2,2014-11-13T07:47:32Z,2014-11-13T07:47:32Z,0.0,Book,"['Books', 'Productivity']",['EN'],"aDyslexia is designed to help people with reading disorder dyslexia to read e-books in PDF format and browse the web. The app modifies the text in such manner that it becomes easier to read for a dyslectic. You can set your preferences via built-in settings to customize how an e-book or a web page is displayed.
Additionally, the app has a built-in text-to-speech synthesis with many supported languages:
- Arabic (Saudi Arabia)
- Chinese (China)
- Chinese (Hong Kong SAR China)
- Chinese (Taiwan)
- Czech (Czech Republic)
- Danish (Denmark)
- Dutch (Belgium)
- Dutch (Netherlands)
- English (Australia)
- English (Ireland)
- English (South Africa)
- English (United Kingdom)
- English (United States)
- Finnish (Finland)
- French (Canada)
- French (France)
- German (Germany)
- Greek (Greece)
- Hindi (India)
- Hungarian (Hungary)
- Indonesian (Indonesia)
- Italian (Italy)
- Japanese (Japan)
- Korean (South Korea)
- Norwegian (Norway)
- Polish (Poland)
- Portuguese (Brazil)
- Portuguese (Portugal)
- Romanian (Romania)
- Russian (Russia)
- Slovak (Slovakia)
- Spanish (Mexico)
- Spanish (Spain)
- Swedish (Sweden)
- Thai (Thailand)
- Turkish (Turkey)"
